room_name,row_name,center_x_mm,center_y_mm,label_z_mm,xmin,xmax,ymin,ymax,note
客厅,上排,2738,5800,3200,-350,5826,3800,7800,南侧大窗公共区；R05 玻璃墙
次卧,上排,7416,5800,3200,5826,9006,3800,7800,中间卧室；R06B 玻璃墙
主卧,上排,10642,5800,3200,9006,12278,3800,7800,最右侧大卧室；R10C 玻璃墙
阳台,上排北缘,5964,8453,3200,-350,12278,7800,9107,北侧封闭阳台带（整条北缘进深）
衣帽间,改造区,925,5500,3200,-350,2200,3800,7200,玄关与客厅之间竖向衣帽间（v05 方案）
洗衣区,改造区,725,8153,3200,-350,1800,7200,9107,R39A/R43/R48 夹角洗衣机与高柜
玄关,下排,725,1850,3150,-350,1800,-100,3800,入户门厅
厨房,下排,3050,1850,3150,1800,4300,-100,3800,开放厨房；烟道燃气
客卫,下排,5550,1850,3150,4300,6800,-100,3800,公卫；R18/R07 排水
书房,下排,8440,1850,3150,6800,10080,-100,3800,独立书房
主卫,下排,11179,1850,3150,10080,12278,-100,3800,主卧配套卫生间
