id,label,x0,x1,y0,y1,z0,z1,cx,cy
cabinet,水柜·前置+中净+中软,82.0,118.0,62.0,92.0,2.0,20.0,100.0,77.0
dhw,[B] 生活热水空气能,260.4,294.4,21.08,30.08,89.28,101.28,277.4,25.58
ac_hp,[A] 两联供+缓冲水箱,260.4,294.4,21.08,32.08,77.28,89.28,277.4,26.58
fh_manifold,地暖分集水器,262.44,287.44,13.08,30.08,46.42,54.42,274.94,21.58
ro,RO纯水·厨下,108.0,118.0,70.0,78.0,2.0,8.0,113.0,74.0
pipeline,管线机,177.51,189.51,71.41,85.41,73.44,83.44,183.51,78.41
dhw_boost,主卫小厨宝·串热管,438.0,450.0,70.0,78.0,2.0,6.0,444.0,74.0
washer,洗衣机,24.0,40.0,300.0,312.0,2.0,10.0,32.0,306.0
robot,扫地机·上下水预留,42.0,58.0,300.0,312.0,2.0,9.0,50.0,306.0
fp_living,风机盘管·客厅,217.44,229.44,247.21,264.21,98.17,114.17,223.44,255.71
fp_bed2,风机盘管·次卧,237.31,249.31,234.93,251.93,98.17,114.17,243.31,243.43
fp_master,风机盘管·主卧,354.56,366.56,236.8,253.8,98.17,114.17,360.56,245.3
fp_study,风机盘管·书房,304.95,316.95,78.44,95.44,98.17,114.17,310.95,86.94
fp_kitchen,风机盘管·厨房,177.51,189.51,84.54,96.54,98.17,114.17,183.51,90.54
erv,全热交换新风机·350风量,248.0,254.0,24.0,29.2,77.28,89.28,251.0,26.6
